Honorificabilitudinitatibus|Honourableness
Antidisestablishmentarianism|Oppose a rather poorly known church
Floccinauccinihilipilification|Consider this worthless
Hepaticocholangiocholecystenterostomies|Don't worry this one is beyond you unless you're a surgeon
Pneumonoultramicroscopicsilicovolcanoconiosis|A coal miner's disease
Aequeosalinocalcalinoceraceoaluminosocupreovitriolic|The wonderfully special spa water at Bath,England
Hippopotomonstrosequippeddaliophobia|Afraid of long words already?
Tintinnabulation|Ooooo tinkly!!!
Wafture|Wave goodbye!
Seraglio|What a fancy place
Surreptitious|Why you sneaky *****
Forbearance|Desist my actions
Epiphany|Will this word dawn upon you?
Denouement|And atlast the mystery is resolved
